model,vertical_case,distance_Mpc,inclination_deg,D_sigma,i_sigma,upsilon,q_log10_ML,chi2_data,rms_km_s,prior_D,prior_i,prior_ML,prior_other,prior_total,objective_chi2_plus_priors,NFW_log10_M200,NFW_M200_Msun,NFW_log10_c200,NFW_c200,obs_velocity_factor_from_i73,MOND_a0_m_s2,minimum_gN_km2_s2_kpc,Kcrit_km_s_minus2,principal_mode_residual,principal_mode_min,K_treatment
NFW,gas_mix_hstar0p3,11.0,67.0,-2.0000000000000004,-2.0,0.4765969408345689,-0.1,102.34625077509648,9.519268169336423,4.000000000000002,4.0,1.0,0.0,9.000000000000002,111.34625077509648,11.564438946426913,366808124546.2582,1.250180981543354,17.79020618673708,1.038891595602483,,,,,,
MOND,gas_mix_hstar0p3,11.0,67.0,-2.0000000000000004,-2.0,0.4765969408345689,-0.1,6201.9465900537625,23.249257892197985,4.000000000000002,4.0,1.0,0.0,9.000000000000002,6210.9465900537625,,,,,1.038891595602483,1.2e-10,69.27349723587535,,,,
TG_edge_limit,gas_mix_hstar0p3,11.0,67.0,-2.0000000000000004,-2.0,0.4765969408345689,-0.1,25074.20935053669,48.659267105474065,4.000000000000002,4.0,1.0,0.0,9.000000000000002,25083.20935053669,,,,,1.038891595602483,,,9.192589106839642e-05,8.278589469357525e-12,0.026166494001489522,derived Kcrit limiting curve; no finite normalization and no K prior
NFW,gas_mix_hstar0p3,11.0,67.0,-2.0000000000000004,-2.0,0.5347505628802474,-0.05,95.41718750329275,9.198601360445668,4.000000000000002,4.0,0.25,0.0,8.250000000000002,103.66718750329275,11.569743030206567,371315458653.1906,1.2309564176408367,17.01987701800768,1.038891595602483,,,,,,
MOND,gas_mix_hstar0p3,11.0,67.0,-2.0000000000000004,-2.0,0.5347505628802474,-0.05,4731.89860585449,20.246617054885387,4.000000000000002,4.0,0.25,0.0,8.250000000000002,4740.14860585449,,,,,1.038891595602483,1.2e-10,73.14972574776884,,,,
TG_edge_limit,gas_mix_hstar0p3,11.0,67.0,-2.0000000000000004,-2.0,0.5347505628802474,-0.05,20506.466921854935,43.94503784061501,4.000000000000002,4.0,0.25,0.0,8.250000000000002,20514.716921854935,,,,,1.038891595602483,,,8.358423422529528e-05,6.211782057809094e-12,0.02539728538144766,derived Kcrit limiting curve; no finite normalization and no K prior
NFW,gas_mix_hstar0p3,11.0,67.0,-2.0000000000000004,-2.0,0.6,0.0,88.20820520404517,8.85941857907795,4.000000000000002,4.0,0.0,0.0,8.000000000000002,96.20820520404517,11.5766701270821,377285510906.3194,1.208385548199238,16.157923521385626,1.038891595602483,,,,,,
MOND,gas_mix_hstar0p3,11.0,67.0,-2.0000000000000004,-2.0,0.6,0.0,3399.2536707117174,17.11906130947137,4.000000000000002,4.0,0.0,0.0,8.000000000000002,3407.2536707117174,,,,,1.038891595602483,1.2e-10,77.49892567120477,,,,
TG_edge_limit,gas_mix_hstar0p3,11.0,67.0,-2.0000000000000004,-2.0,0.6,0.0,16151.795701747402,38.932402870754984,4.000000000000002,4.0,0.0,0.0,8.000000000000002,16159.795701747402,,,,,1.038891595602483,,,7.5836386281955e-05,6.853523097925827e-12,0.024713027537501195,derived Kcrit limiting curve; no finite normalization and no K prior
NFW,gas_mix_hstar0p3,11.0,67.0,-2.0000000000000004,-2.0,0.673211072581178,0.05,80.81328869006701,8.506426201576366,4.000000000000002,4.0,0.25,0.0,8.250000000000002,89.06328869006701,11.58584505545078,385340853922.3685,1.1816845135921377,15.194433529569412,1.038891595602483,,,,,,
MOND,gas_mix_hstar0p3,11.0,67.0,-2.0000000000000004,-2.0,0.673211072581178,0.05,2236.657592604991,13.896725340411408,4.000000000000002,4.0,0.25,0.0,8.250000000000002,2244.907592604991,,,,,1.038891595602483,1.2e-10,82.37880824674856,,,,
TG_edge_limit,gas_mix_hstar0p3,11.0,67.0,-2.0000000000000004,-2.0,0.673211072581178,0.05,12094.776185315497,33.611611757714066,4.000000000000002,4.0,0.25,0.0,8.250000000000002,12103.026185315497,,,,,1.038891595602483,,,6.867396913094719e-05,5.325633127875942e-12,0.024104990334381085,derived Kcrit limiting curve; no finite normalization and no K prior
NFW,gas_mix_hstar0p3,11.0,67.0,-2.0000000000000004,-2.0,0.7553552470765004,0.1,73.384868126116,8.147563408022917,4.000000000000002,4.0,1.0,0.0,9.000000000000002,82.384868126116,11.598200904629287,396461394883.9173,1.1498035415593733,14.118987104261711,1.038891595602483,,,,,,
MOND,gas_mix_hstar0p3,11.0,67.0,-2.0000000000000004,-2.0,0.7553552470765004,0.1,1281.5272682988339,10.665092864348841,4.000000000000002,4.0,1.0,0.0,9.000000000000002,1290.5272682988339,,,,,1.038891595602483,1.2e-10,87.85412655133531,,,,
TG_edge_limit,gas_mix_hstar0p3,11.0,67.0,-2.0000000000000004,-2.0,0.7553552470765004,0.1,8432.677962933469,27.97786572322366,4.000000000000002,4.0,1.0,0.0,9.000000000000002,8441.677962933469,,,,,1.038891595602483,,,6.208044800026163e-05,4.8791797780554906e-12,0.023565074997392344,derived Kcrit limiting curve; no finite normalization and no K prior
NFW,gas_mix_hstar0p3,11.0,67.0,-2.0000000000000004,-2.0,0.762,0.10380372095595687,72.8247676497696,8.120344949699984,4.000000000000002,4.0,1.077521248430216,0.0,9.077521248430218,81.90228889819981,11.599307388158522,397472776152.805,1.1471285534812443,14.032290063576363,1.038891595602483,,,,,,
MOND,gas_mix_hstar0p3,11.0,67.0,-2.0000000000000004,-2.0,0.762,0.10380372095595687,1218.5331359030276,10.424122356414928,4.000000000000002,4.0,1.077521248430216,0.0,9.077521248430218,1227.6106571514579,,,,,1.038891595602483,1.2e-10,88.29703242427175,,,,
TG_edge_limit,gas_mix_hstar0p3,11.0,67.0,-2.0000000000000004,-2.0,0.762,0.10380372095595687,8173.312935205723,27.53657218861469,4.000000000000002,4.0,1.077521248430216,0.0,9.077521248430218,8182.3904564541535,,,,,1.038891595602483,,,6.160152545496454e-05,6.771511817746076e-12,0.023526574947566277,derived Kcrit limiting curve; no finite normalization and no K prior
NFW,gas_thin_hstar0p3,11.0,67.0,-2.0000000000000004,-2.0,0.4765969408345689,-0.1,103.4719678044422,9.527753438801659,4.000000000000002,4.0,1.0,0.0,9.000000000000002,112.4719678044422,11.562534241149908,365202919872.5078,1.2510081343702577,17.82412151857098,1.038891595602483,,,,,,
MOND,gas_thin_hstar0p3,11.0,67.0,-2.0000000000000004,-2.0,0.4765969408345689,-0.1,6143.244855784059,23.135771898308484,4.000000000000002,4.0,1.0,0.0,9.000000000000002,6152.244855784059,,,,,1.038891595602483,1.2e-10,69.60330938031593,,,,
TG_edge_limit,gas_thin_hstar0p3,11.0,67.0,-2.0000000000000004,-2.0,0.4765969408345689,-0.1,24804.067883683823,48.39456730956533,4.000000000000002,4.0,1.0,0.0,9.000000000000002,24813.067883683823,,,,,1.038891595602483,,,9.126420369649413e-05,5.162714857153625e-12,0.026212293434275207,derived Kcrit limiting curve; no finite normalization and no K prior
NFW,gas_thin_hstar0p3,11.0,67.0,-2.0000000000000004,-2.0,0.5347505628802474,-0.05,96.50541757821362,9.20593343647595,4.000000000000002,4.0,0.25,0.0,8.250000000000002,104.75541757821362,11.567804755638052,369661954692.15643,1.2317731544162447,17.05191481534617,1.038891595602483,,,,,,
MOND,gas_thin_hstar0p3,11.0,67.0,-2.0000000000000004,-2.0,0.5347505628802474,-0.05,4684.230324911787,20.14024043443254,4.000000000000002,4.0,0.25,0.0,8.250000000000002,4692.480324911787,,,,,1.038891595602483,1.2e-10,73.47953789220942,,,,
TG_edge_limit,gas_thin_hstar0p3,11.0,67.0,-2.0000000000000004,-2.0,0.5347505628802474,-0.05,20276.50480446268,43.69568358309677,4.000000000000002,4.0,0.25,0.0,8.250000000000002,20284.75480446268,,,,,1.038891595602483,,,8.304184897265184e-05,6.62085407596201e-12,0.025440371340838066,derived Kcrit limiting curve; no finite normalization and no K prior
NFW,gas_thin_hstar0p3,11.0,67.0,-2.0000000000000004,-2.0,0.6,0.0,89.24858652504192,8.865403204280199,4.000000000000002,4.0,0.0,0.0,8.000000000000002,97.24858652504192,11.574693632695412,375572368251.0323,1.2091884514521154,16.187823161968183,1.038891595602483,,,,,,
MOND,gas_thin_hstar0p3,11.0,67.0,-2.0000000000000004,-2.0,0.6,0.0,3362.407458491887,17.021353887683105,4.000000000000002,4.0,0.0,0.0,8.000000000000002,3370.407458491887,,,,,1.038891595602483,1.2e-10,77.82873781564535,,,,
TG_edge_limit,gas_thin_hstar0p3,11.0,67.0,-2.0000000000000004,-2.0,0.6,0.0,15960.37954665534,38.698396196024625,4.000000000000002,4.0,0.0,0.0,8.000000000000002,15968.37954665534,,,,,1.038891595602483,,,7.539349961204424e-05,6.665574975054262e-12,0.02475310469899866,derived Kcrit limiting curve; no finite normalization and no K prior
NFW,gas_thin_hstar0p3,11.0,67.0,-2.0000000000000004,-2.0,0.673211072581178,0.05,81.79081462316621,8.510814934670153,4.000000000000002,4.0,0.25,0.0,8.250000000000002,90.04081462316621,11.583825205203423,383552842115.4079,1.1824687137815084,15.221894716486933,1.038891595602483,,,,,,
MOND,gas_thin_hstar0p3,11.0,67.0,-2.0000000000000004,-2.0,0.673211072581178,0.05,2210.3753592714215,13.81050070952422,4.000000000000002,4.0,0.25,0.0,8.250000000000002,2218.6253592714215,,,,,1.038891595602483,1.2e-10,82.70862039118916,,,,
TG_edge_limit,gas_thin_hstar0p3,11.0,67.0,-2.0000000000000004,-2.0,0.673211072581178,0.05,11940.256007155456,33.39325637231317,4.000000000000002,4.0,0.25,0.0,8.250000000000002,11948.506007155456,,,,,1.038891595602483,,,6.831354531927325e-05,5.30586088022597e-12,0.024141944607424363,derived Kcrit limiting curve; no finite normalization and no K prior
NFW,gas_thin_hstar0p3,11.0,67.0,-2.0000000000000004,-2.0,0.7553552470765004,0.1,74.27718310640344,8.150026335141343,4.000000000000002,4.0,1.0,0.0,9.000000000000002,83.27718310640344,11.596132290907725,394577476439.2399,1.150561903923189,14.143663131343894,1.038891595602483,,,,,,
MOND,gas_thin_hstar0p3,11.0,67.0,-2.0000000000000004,-2.0,0.7553552470765004,0.1,1265.5078253001282,10.59633662289967,4.000000000000002,4.0,1.0,0.0,9.000000000000002,1274.5078253001282,,,,,1.038891595602483,1.2e-10,88.1839386957759,,,,
TG_edge_limit,gas_thin_hstar0p3,11.0,67.0,-2.0000000000000004,-2.0,0.7553552470765004,0.1,8313.408871120298,27.776111313853402,4.000000000000002,4.0,1.0,0.0,9.000000000000002,8322.408871120298,,,,,1.038891595602483,,,6.178799674434884e-05,7.1063558621205645e-12,0.02359891851237069,derived Kcrit limiting curve; no finite normalization and no K prior
NFW,gas_thin_hstar0p3,11.0,67.0,-2.0000000000000004,-2.0,0.762,0.10380372095595687,73.70938904231362,8.122644758426096,4.000000000000002,4.0,1.077521248430216,0.0,9.077521248430218,82.78691029074383,11.597234842701763,395580470525.50226,1.1478845699017872,14.056738637593998,1.038891595602483,,,,,,
MOND,gas_thin_hstar0p3,11.0,67.0,-2.0000000000000004,-2.0,0.762,0.10380372095595687,1203.2809722029378,10.357125766676235,4.000000000000002,4.0,1.077521248430216,0.0,9.077521248430218,1212.358493451368,,,,,1.038891595602483,1.2e-10,88.62684456871233,,,,
TG_edge_limit,gas_thin_hstar0p3,11.0,67.0,-2.0000000000000004,-2.0,0.762,0.10380372095595687,8056.658741909692,27.33615294973147,4.000000000000002,4.0,1.077521248430216,0.0,9.077521248430218,8065.736263158123,,,,,1.038891595602483,,,6.131371852231765e-05,5.9535429128183916e-12,0.023560184928710405,derived Kcrit limiting curve; no finite normalization and no K prior
NFW,gas_mix_hstar0p6,11.0,67.0,-2.0000000000000004,-2.0,0.4765969408345689,-0.1,104.74238290582724,9.39205050741483,4.000000000000002,4.0,1.0,0.0,9.000000000000002,113.74238290582724,11.555319365572975,359185970848.4542,1.2648397222644463,18.400927841514378,1.038891595602483,,,,,,
MOND,gas_mix_hstar0p6,11.0,67.0,-2.0000000000000004,-2.0,0.4765969408345689,-0.1,7083.156722212839,24.925826949289256,4.000000000000002,4.0,1.0,0.0,9.000000000000002,7092.156722212839,,,,,1.038891595602483,1.2e-10,69.24845224812456,,,,
TG_edge_limit,gas_mix_hstar0p6,11.0,67.0,-2.0000000000000004,-2.0,0.4765969408345689,-0.1,28956.46062797721,52.47664756262765,4.000000000000002,4.0,1.0,0.0,9.000000000000002,28965.46062797721,,,,,1.038891595602483,,,9.652132497333208e-05,8.674375993206156e-12,0.029581292170081347,derived Kcrit limiting curve; no finite normalization and no K prior
NFW,gas_mix_hstar0p6,11.0,67.0,-2.0000000000000004,-2.0,0.5347505628802474,-0.05,97.81818781905572,9.035770733846036,4.000000000000002,4.0,0.25,0.0,8.250000000000002,106.06818781905572,11.558903441774609,362162468604.5714,1.2479053745903415,17.697233235782875,1.038891595602483,,,,,,
MOND,gas_mix_hstar0p6,11.0,67.0,-2.0000000000000004,-2.0,0.5347505628802474,-0.05,5547.936433703322,21.972923094182995,4.000000000000002,4.0,0.25,0.0,8.250000000000002,5556.186433703322,,,,,1.038891595602483,1.2e-10,73.12162480932469,,,,
TG_edge_limit,gas_mix_hstar0p6,11.0,67.0,-2.0000000000000004,-2.0,0.5347505628802474,-0.05,24308.932813925403,48.0453326781486,4.000000000000002,4.0,0.25,0.0,8.250000000000002,24317.182813925403,,,,,1.038891595602483,,,8.793769673530557e-05,7.228597316549809e-12,0.02875272916780547,derived Kcrit limiting curve; no finite normalization and no K prior
NFW,gas_mix_hstar0p6,11.0,67.0,-2.0000000000000004,-2.0,0.6,0.0,90.52520176369374,8.65043831488821,4.000000000000002,4.0,0.0,0.0,8.000000000000002,98.52520176369374,11.563663867303715,366154071169.02734,1.2280807095598698,16.907551134429628,1.038891595602483,,,,,,
MOND,gas_mix_hstar0p6,11.0,67.0,-2.0000000000000004,-2.0,0.6,0.0,4135.518891050734,18.88021297453316,4.000000000000002,4.0,0.0,0.0,8.000000000000002,4143.518891050734,,,,,1.038891595602483,1.2e-10,77.46739589968722,,,,
TG_edge_limit,gas_mix_hstar0p6,11.0,67.0,-2.0000000000000004,-2.0,0.6,0.0,19810.340526320146,43.33029322779484,4.000000000000002,4.0,0.0,0.0,8.000000000000002,19818.340526320146,,,,,1.038891595602483,,,7.993337186399741e-05,8.902681983960046e-12,0.02801187621534023,derived Kcrit limiting curve; no finite normalization and no K prior
