R_kpc,Vobs_km_s,sigmaV_km_s,K0_resolved_baryons_U0p6_km_s,K0_resolved_baryons_U0p762_km_s,edge_Upsilon_0.476597_km_s,edge_Upsilon_0.600000_km_s,edge_Upsilon_0.755355_km_s,edge_Upsilon_0.762000_km_s,source_THINGS_gas_map_km_s,source_shorter_stellar_tail_Rd_x0.75_km_s,source_longer_stellar_tail_Rd_x1.25_km_s,finite_0.950_Kcrit_Upsilon_0.762_km_s,finite_0.990_Kcrit_Upsilon_0.762_km_s,finite_0.998_Kcrit_Upsilon_0.762_km_s,coarse_same_domain_edge_Upsilon_0.762_km_s,coarse_larger_domain_edge_Upsilon_0.762_km_s
0.32,24.4,35.9,22.52290841737184,25.384288383636214,19.567606990879906,21.972168857000185,24.668472330042402,24.777256842321076,24.801695004518596,24.779703298816656,24.77497688536242,24.73835256181405,24.76946486376604,24.775698003705823,31.913550846342304,31.913537173133584
0.64,43.3,16.3,36.50117431115729,41.141376743206486,33.68210396642129,37.84030153234202,42.50135536719274,42.6893781056351,42.718378176370244,42.69585859571345,42.683338333485715,42.586221628707925,42.668693827061176,42.685239129308755,44.39187837066102,44.39184805600289
0.96,45.5,16.1,43.52534513506964,49.06529476233134,41.283007723952984,46.40983552048071,52.15398830506168,52.38565225526199,52.39622576076941,52.39731923983803,52.37478415884749,52.20088717603517,52.34855653670293,52.37822738232182,53.38934583218057,53.38929655156362
1.28,58.5,15.4,48.32162599182206,54.48328011394992,46.605470190576355,52.42717158670131,58.94682785559404,59.20971162950824,59.19157535810717,59.22686544110146,59.19374437976452,58.94017836931859,59.155526928693114,59.198863498939325,59.75383348293705,59.753766757716434
1.61,68.8,7.61,51.614667075892335,58.2127652801853,50.567751275262886,56.92394448293837,64.03855033906191,64.32535671074079,64.27952057920815,64.34846400484503,64.30386761965518,63.96580346139299,64.25298341946575,64.31086339163306,64.9282827138545,64.92819678549138
1.93,76.9,10.3,53.60509137901437,60.4801968915034,53.35720726738872,60.10757406229632,67.65937241252828,67.96372934244546,67.91625289803943,67.99285442563783,67.93666814029619,67.51482184384697,67.87326267257373,67.9456083163606,68.19737002632128,68.19726716657884
2.24,82.0,8.09,54.97214162409104,62.04744172799575,55.47056262440314,62.53124858952215,70.42621694200083,70.74433151925902,70.70833443213715,70.77941464009409,70.71176504058072,70.20896702276973,70.6363243361487,70.72269225306711,71.18949123521539,71.18937513045988
2.57,86.9,7.6,56.711647127673345,64.0357554525134,57.93736379008655,65.34957428712995,73.63409555049871,73.96784261894875,73.94423358163786,74.00900828756744,73.92967111091058,73.34683802962502,73.84241484030696,73.94270729433534,73.78713566165028,73.78700519052124
2.89,97.6,3.03,59.12535579150545,66.77777229056873,60.90132315564612,68.71478985751443,77.44583343133908,77.79753290416505,77.76671133263832,77.84424403590916,77.754265521024,77.10080693422346,77.65665089311092,77.76929405012675,77.67907321756995,77.67893358442953
3.21,100.0,5.31,62.019376818758374,70.05058059124097,64.12706400742047,72.36400688077046,81.56767876232071,81.93840446257518,81.92614395127522,81.99061278849346,81.89009580913262,81.1682365578725,81.78248937120249,81.90714485353955,81.82760699465727,81.82746020479814
3.54,107.0,7.51,65.26690755519208,73.70929769115494,67.70253700824433,76.39258425392346,86.10370396620615,86.49488819847618,86.52951498406478,86.55280143380489,86.44135947097779,85.65028249135149,86.32369520286188,86.46055695813116,86.23806010820878,86.23790593657571
3.85,113.0,7.32,68.283099619188,77.0957491695636,71.03291247552957,80.1329448395567,90.3046486697303,90.71442651397012,90.78926873483141,90.77796954140867,90.65575540696096,89.7976458195625,90.5283921346854,90.67711024999997,90.47903627540418,90.47887667346065
4.17,117.0,5.21,71.05526748933512,80.18808036474935,74.22465573543117,83.70228391159284,94.30013856272765,94.72715299105171,94.77737845672868,94.7970149433712,94.66271691860015,93.73028864994876,94.52462776056012,94.68651897995548,94.40061992360994,94.40045462087424
4.5,119.0,5.67,73.59753820520562,83.0138607499729,77.25416314406161,87.08329594578333,98.07877978958616,98.5218927070039,98.51472254142179,98.59875833430756,98.45107767532461,97.43774526626407,98.30136271240623,98.47763506187385,98.0230495733922,98.02287824936309
4.82,127.0,5.39,76.13647693689322,85.84669087665908,80.2328419935517,90.41580087242951,101.81042694117946,102.26968096710931,102.24434389428427,102.3535085790732,102.19254194605573,101.1011395586794,102.03169078991137,102.22190717114931,101.76947991882139,101.76930552405032
5.15,132.0,4.34,78.56301383247394,88.55260729294318,83.13415430703373,93.6619597424362,105.44568203631393,105.92067196035732,105.89577073958877,106.01215855760458,105.83659003195869,104.66114491629025,105.66381969506632,105.86909810547438,105.36098232348476,105.36080467740321
5.46,134.0,2.36,80.57964354616,90.79491203863788,85.65690917466645,96.48158555928526,108.60079979005113,109.0893661920304,109.06737922412401,109.1885927400765,108.99828005507591,107.73940711798373,108.81373119609964,109.0340067851338,108.44976678663198,108.44958676449066
5.78,137.0,0.89,82.5574899898505,92.9905739323257,88.16466109289416,99.2820661125518,111.73244258018455,112.23441609273593,112.20797129961113,112.34203862585768,112.13575242754604,110.78896954280535,111.93889942260608,112.17504761045979,111.4812820874679,111.48110264174151
6.1,140.0,2.84,84.14333659084738,94.73804013086564,90.33963216258329,101.70412543229361,114.43507849528967,114.94842831362557,114.89958639222098,115.0651851000754,114.84154084469465,113.4015466501501,114.63176111844346,114.88479359727245,114.33851110938753,114.33833143988211
6.43,142.0,0.88,85.26645060892415,95.95718782708927,92.17832581442994,103.74435210246824,116.70541191792191,117.22811196321106,117.14530532133324,117.355166249953,117.11197107850874,115.56894081523971,116.88799884330334,117.15974663707186,116.38554664615616,116.3853687961662
6.74,144.0,1.23,86.45104553544206,97.25376588609164,93.99927646077431,105.76947579970285,118.96293390008157,119.49506556919766,119.42642845648133,119.63199603131375,119.370084049613,117.73239398914602,119.13325817457162,119.42231959315421,118.56410296478695,118.56393145836645
7.06,146.0,1.57,87.39128433060722,98.27443962533677,95.63818350576163,107.59125367302387,120.99319445419185,121.53379203904369,121.48494151552495,121.68169870820945,121.39901606871055,119.6596054517232,121.14856899634852,121.4563160529333,120.84298872323532,120.84282252887364
8.04,147.0,3.0,86.62985080123273,97.28841461530145,97.65002316645929,109.79760113333197,123.42827181626184,123.97826490562497,123.97531621558635,124.16713957167562,123.80714681288026,121.71101759776299,123.51036552285558,123.88408168348016,123.02515553276545,123.02502652327631
9.04,148.0,3.0,86.43396235541884,96.89554506741442,99.8415988149664,112.15156348620084,125.98052649864297,126.53878751049297,126.59354118392281,126.77493979838736,126.32640615400133,123.88855394100821,125.98946099590853,126.42811274353416,125.585398617125,125.5853467236167
10.04,152.0,2.0,86.73383813766105,97.02657821239634,102.16652963083018,114.61310345297987,128.61530456154844,129.1808941428267,129.29103734465963,129.47323249133112,128.92040306929493,126.15648945081665,128.55120973419986,129.05391003336396,128.18234866020538,128.18241358526942
