R_kpc,Vobs_km_s,sigmaV_km_s,V_TG_km_s
3.200000000000000067e-01,2.439999999999999858e+01,3.589999999999999858e+01,2.444241524251739506e+01
6.400000000000000133e-01,4.329999999999999716e+01,1.630000000000000071e+01,4.191587766550020433e+01
9.599999999999999645e-01,4.550000000000000000e+01,1.610000000000000142e+01,5.112335859008066308e+01
1.280000000000000027e+00,5.850000000000000000e+01,1.540000000000000036e+01,5.746145430834802426e+01
1.610000000000000098e+00,6.879999999999999716e+01,7.610000000000000320e+00,6.207699805045857033e+01
1.929999999999999938e+00,7.690000000000000568e+01,1.030000000000000071e+01,6.523121040791731673e+01
2.240000000000000213e+00,8.200000000000000000e+01,8.089999999999999858e+00,6.755138212682248877e+01
2.569999999999999840e+00,8.690000000000000568e+01,7.599999999999999645e+00,7.032267074958114961e+01
2.890000000000000124e+00,9.759999999999999432e+01,3.029999999999999805e+00,7.375473060126901714e+01
3.209999999999999964e+00,1.000000000000000000e+02,5.309999999999999609e+00,7.751383367534818092e+01
3.540000000000000036e+00,1.070000000000000000e+02,7.509999999999999787e+00,8.168717933865860914e+01
3.850000000000000089e+00,1.130000000000000000e+02,7.320000000000000284e+00,8.553986903635717454e+01
4.169999999999999929e+00,1.170000000000000000e+02,5.209999999999999964e+00,8.915186694789784383e+01
4.500000000000000000e+00,1.190000000000000000e+02,5.669999999999999929e+00,9.251631030951945434e+01
4.820000000000000284e+00,1.270000000000000000e+02,5.389999999999999680e+00,9.585338496743148085e+01
5.150000000000000355e+00,1.320000000000000000e+02,4.339999999999999858e+00,9.906755505266106354e+01
5.459999999999999964e+00,1.340000000000000000e+02,2.359999999999999876e+00,1.018081079408595571e+02
5.780000000000000249e+00,1.370000000000000000e+02,8.900000000000000133e-01,1.045073617468662803e+02
6.099999999999999645e+00,1.400000000000000000e+02,2.839999999999999858e+00,1.067538022749456559e+02
6.429999999999999716e+00,1.420000000000000000e+02,8.800000000000000044e-01,1.085223574002396703e+02
6.740000000000000213e+00,1.440000000000000000e+02,1.229999999999999982e+00,1.103262342492933215e+02
7.059999999999999609e+00,1.460000000000000000e+02,1.570000000000000062e+00,1.118716322392673277e+02
8.039999999999999147e+00,1.470000000000000000e+02,3.000000000000000000e+00,1.126080633358313037e+02
9.039999999999999147e+00,1.480000000000000000e+02,3.000000000000000000e+00,1.135883591865769517e+02
1.003999999999999915e+01,1.520000000000000000e+02,2.000000000000000000e+00,1.147570810631264777e+02
1.103999999999999915e+01,1.550000000000000000e+02,2.000000000000000000e+00,1.159298931590208355e+02
1.205000000000000071e+01,1.560000000000000000e+02,2.000000000000000000e+00,1.175458157702365867e+02
1.405000000000000071e+01,1.570000000000000000e+02,2.000000000000000000e+00,1.170342342586222628e+02
1.607000000000000028e+01,1.530000000000000000e+02,2.000000000000000000e+00,1.139616168941926730e+02
1.812999999999999901e+01,1.530000000000000000e+02,2.000000000000000000e+00,1.111078480969088247e+02
2.005000000000000071e+01,1.540000000000000000e+02,2.000000000000000000e+00,1.093884676761952619e+02
2.212000000000000099e+01,1.530000000000000000e+02,2.000000000000000000e+00,1.073308905440925827e+02
2.403000000000000114e+01,1.500000000000000000e+02,2.000000000000000000e+00,1.046820718179941281e+02
2.610000000000000142e+01,1.490000000000000000e+02,2.000000000000000000e+00,1.039974661951044510e+02
2.816000000000000014e+01,1.480000000000000000e+02,2.000000000000000000e+00,1.033642191161894743e+02
3.007999999999999829e+01,1.460000000000000000e+02,2.000000000000000000e+00,1.017586723746737505e+02
3.214000000000000057e+01,1.470000000000000000e+02,2.000000000000000000e+00,1.004735874961476867e+02
3.406000000000000227e+01,1.480000000000000000e+02,2.000000000000000000e+00,9.957673756218761696e+01
3.611999999999999744e+01,1.480000000000000000e+02,2.000000000000000000e+00,9.827089723145874700e+01
3.818999999999999773e+01,1.490000000000000000e+02,2.000000000000000000e+00,9.642845497550146661e+01
4.010000000000000142e+01,1.500000000000000000e+02,2.000000000000000000e+00,9.357399591462709054e+01
4.217000000000000171e+01,1.500000000000000000e+02,3.000000000000000000e+00,9.079502998859052809e+01
4.407999999999999829e+01,1.490000000000000000e+02,3.000000000000000000e+00,8.876760705534901774e+01
